video_id,title,title_len,desc_len,emoji_count,tag_count,published_hour,views,likes,comments,view_like_ratio,channel_subs,has_caption,definition,topic_categories,url
AIrAgxMfSgA,My girlfriend doesn’t like pickles #girlfriend #couples #couplegoals #foodie #foodlover #foodies,96,0,7,0,14,24904,68,3,0.27,6130,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/AIrAgxMfSgA
HW6eKZwTBXM,Chhoti ko kapde Le aaya 😂 #cooking #foodie #recepe #food #lifestyle #dailyvlog #vlog #shorts,92,92,9,0,15,136727,4612,47,3.37,596000,0,hd,Lifestyle,https://www.youtube.com/shorts/HW6eKZwTBXM
j2iuP4p9O4U,WHAT I EAT IN A DAY | #food #foodie #whatieatinaday #viral #shorts #feed #momos #minivlog #chowmein,99,344,10,0,6,3833,0,4,0.0,258,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/j2iuP4p9O4U
cGOjSCjpsvU,Soyabean Masala 😋 #ytshorts #soyabean #food #trending #foryou #explore #cooking #shortsfeed #foodie,99,482,10,20,14,4807,243,5,5.06,2440,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/cGOjSCjpsvU
lewCOKAwudo,Wedding food #food #bolleywoodsong #indianfood #foodie #entertainment #trending #viral #shorts,94,0,8,0,11,18635,117,2,0.63,126000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/lewCOKAwudo
EjNN4VIfd3Y,Making the Cheapest Pizza Hut Pizza Worth-₹😱 #foodie #foodblogger #foodreview #subscribe @pizzahut,98,0,8,0,13,24590,694,11,2.82,22300,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/EjNN4VIfd3Y
g1nWg489cw8,sing if you would eat it: chocolate edition🍫 #viral #foodie #food #bigback #youtubeshorts #fypviral,99,0,8,0,20,29204,639,59,2.19,17100,0,hd,"Entertainment,Food",https://www.youtube.com/shorts/g1nWg489cw8
-71aKg0TDa0,World famous club kachori 4 pieces for ₹48 lali chhangani kachori wala #trendingreels#lalichhangani,99,177,3,0,14,30173,0,8,0.0,8880,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/-71aKg0TDa0
hOm5G8wzq2U,Trying Indian food in europe #foodie #europe #desi #dalmakhani #paneer #indianfood,82,0,6,0,5,15664,837,2,5.34,61200,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/hOm5G8wzq2U
gax6UrObnJ8,Crispy and crunchy roll bread making #dontunderviewmyvideos🥀 #StreetFood #Foodie #viral,87,0,5,0,11,16975,73,0,0.43,341,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/gax6UrObnJ8
ZvlMSX1dSwA,sopesitos #shorts #viralshorts #video #food #foodie,51,118,5,4,22,26320,264,2,1.0,37500,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/ZvlMSX1dSwA
DiD5CUTFTvo,Tried Our Freedom Fighter Favorite Food #shorts #foodie #minivlog,65,244,3,9,21,24862,1020,26,4.1,3180,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/DiD5CUTFTvo
uN4ImkhLuQM,Aaj baccho ke liye banya Dahi tadka paneer🧀sandwich|| #sandwich #paneer #cooking,80,1015,6,0,15,1175566,20463,164,1.74,211000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/uN4ImkhLuQM
sgRteohDEeA,You can’t tell me this isn’t insane #foodie #restaurantreview,61,0,4,0,13,2760,118,0,4.28,5770,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/sgRteohDEeA
ZkfOTpDZqPQ,Aaj banaya mirchi wala salan #shorts #zomato #swiggy #viralshorts #foodie #cloudkitchen,87,4801,6,0,12,34445,1868,9,5.42,91700,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/ZkfOTpDZqPQ
-tBG98j_KpA,ZOMATO order || foodie || Chinese platter #momos,48,0,5,0,5,21586,217,0,1.01,82100,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/-tBG98j_KpA
Lz3kB2677Mo,"📍Trino, West Loop #chicagofoodguide #foodie #foodiechronicles",61,0,4,0,15,4827,197,4,4.08,5530,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/Lz3kB2677Mo
-LEJQlZP0Tc,Tenu ae kese di ai #zkp #youtubeshorts #shortvideo #funny #trendingshorts #viral #foodie,88,0,7,0,12,16743,649,11,3.88,441000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/-LEJQlZP0Tc
0ThHKVBl8vU,Crispy Chicken Caesar Enchiladas! #shorts #food #foodie,55,0,4,0,2,13649,228,9,1.67,179000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/0ThHKVBl8vU
t2SrVVdVX1A,Lunch Box Idea | #desilunchthali #lunchboxideas #food #food #asmr #trending #viral #foodie #like,96,0,10,0,5,17306,740,26,4.28,171000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/t2SrVVdVX1A
GQehCh4C7qw,Ae Allah Madad farma🤲#The yummy food Alfisha# #food#cooking#Foodie#recipe#bayan#Hadees#Sweets recipe,100,911,10,19,6,30213,640,2,2.12,11000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/GQehCh4C7qw
lXDCU6NMLiY,matar ki Dal 😋 #shortsviral #shortvideo #shortvideo #cooking #viralvideos #easyrecipe #foodie,93,0,8,0,17,1564,9,0,0.58,6050,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/lXDCU6NMLiY
XBqutfF0PL0,Viral cheesecake 🤤 #cheesecake #viral #shortvideo #trending #food #foodie #cheese #biscoff #cake,96,0,10,7,8,3031,20,1,0.66,209,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/XBqutfF0PL0
cT6BxJGhWDM,Hot chicken is so good #fyp #food #shorts #reels #foodie,56,0,5,0,0,5949,31,3,0.52,3810,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/cT6BxJGhWDM
RGvgwbymz3c,Cheesesteak Burger Dogs🔥 #shorts #food #foodie,46,0,4,0,0,15031,285,16,1.9,179000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/RGvgwbymz3c
oThfjqI4Fm8,Something wrong with the sandwich?#food #uae #burger #friedchicken #meetthecheese,81,0,6,0,1,37779,1062,8,2.81,102000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/oThfjqI4Fm8
pvwdxqV2apo,Throwback! #cookingchannel #easyrecipe #recommended #foodie #dinner #cookingvideo #foodshorts #fyp,98,0,9,0,0,1507,79,0,5.24,5130,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/pvwdxqV2apo
txHMk3z_yes,Delhi foumos soya chap 🍴🧆 #foodie #newyear #food #viral #streetfood,67,67,7,2,15,1885,14,0,0.74,6450,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/txHMk3z_yes
8o3MNx02amI,Subscriber Name Food Challenge😎 #food #foodie #foodchallenge #streetfood #shorts #youtubeshorts,95,1141,7,22,12,4831,0,15,0.0,2830,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/8o3MNx02amI
u7djcswh_JA,Shinwari Style Chicken Kadhai #shorts #chickenkadhai #food #cooking #foodie,75,640,5,22,15,2386,52,0,2.18,205,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/u7djcswh_JA
QcXcX_oWR7w,#food #mukbang #eating #eatingsounds #foodie #comedy #vfxmahjabeen #shorts,74,74,8,0,1,6411,32,0,0.5,1810,0,hd,"Entertainment,Food",https://www.youtube.com/shorts/QcXcX_oWR7w
5pJSnDO8HYA,I love Slim Jim’s 😎 oh yeahhhhh!! #emoedagreat #funny #laugh #foodie #justheadinhomeman,87,0,9,0,23,7901,253,32,3.2,23900,0,hd,Entertainment,https://www.youtube.com/shorts/5pJSnDO8HYA
Yb-C4HZ1Jpg,Cheese Pull Corn Dog + Whole Chicken 🔥🍗 #shorts #mukbang #foodie #corndog,73,0,7,0,0,4432,97,0,2.19,2590,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/Yb-C4HZ1Jpg
5Vz2jiUkri0,Lunch Thali #food #bolleywoodsong #indianfood #foodie #entertainment #trending #viral #shorts,93,0,8,0,7,15577,74,0,0.48,126000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/5Vz2jiUkri0
MdNugjmcqSs,#food #torsita #torsita #shortvideo #cooking #cooking #recipe #funny #memes #rekkkkkk #foodie #pasta,100,0,12,0,5,371570,5470,52,1.47,25800,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/MdNugjmcqSs
AnFyt-5P4i0,Samosa with chutney #samosa #shortsfeed #ytshorts #foodie #chutney #youtubeshorts,81,81,6,0,13,893,10,0,1.12,5370,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/AnFyt-5P4i0
XPCjIB3rTLw,✨💞☝ #exploreislam #recipe #ytshorts #cooking #allah #islamicstatus #foodie #peaparatha,86,86,11,0,3,3979,0,5,0.0,5240,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/XPCjIB3rTLw
DOb5soUy53w,chocolate cake shorts #trending #food #foodie #indianfood #recipe #cooking #virals,82,652,7,6,13,1207,7,0,0.58,6910,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/DOb5soUy53w
YsVhD34nmJI,Tried ₹40 gobi manchurian at Chaitanyapuri,42,0,1,0,15,99704,1829,2,1.83,2020,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/YsVhD34nmJI
Z5KxUJpn4qU,Maggi ki 🤬#cooking #food #foodie #recipe #vlog #dailyvlog #lifestyle #shorts,76,76,9,7,3,9164,0,3,0.0,3040,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/Z5KxUJpn4qU
UJga3tUZzv4,Burger Challenge 😂#trending  #ytshorts #shorts,46,107,4,0,12,24343,471,2,1.93,319000,0,hd,"Entertainment,Food",https://www.youtube.com/shorts/UJga3tUZzv4
ik1HbzHuPFE,Irfan Junejo Coffee Shop Loop | Worth or Not ? 🤔❤️ #food #foodie #coffee #karachi #karachifood,94,62,10,9,13,11058,413,3,3.73,53700,0,hd,Lifestyle,https://www.youtube.com/shorts/ik1HbzHuPFE
aXhWP9Kx0GU,GF thinks McDonalds is healthy🤦‍♂️ #couple #comedy #girlfriend #foodie #food #funny #fun,88,0,11,0,12,18254,65,3,0.36,72500,0,hd,Entertainment,https://www.youtube.com/shorts/aXhWP9Kx0GU
JhgEpNPY2Ps,Dosa #explore #food #explorenow #explorepage #fyp #fypage #dosa #trending #viral #shortsfeed #foodie,100,372,11,24,15,4218,0,0,0.0,1970,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/JhgEpNPY2Ps
hYfJJ1HSTzg,#food #mukbangseafoodpedas #fish #foodie,40,0,4,0,0,919,11,0,1.2,17800,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/hYfJJ1HSTzg
W4gljpR-L64,Wedding food #food #bolleywoodsong #indianfood #foodie #entertainment #trending #viral #shorts,94,0,8,0,10,9326,88,2,0.94,126000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/W4gljpR-L64
caWG0xRZm0I,#food #fishfry #foodie #eating #eatingshow,42,0,5,0,0,4981,46,0,0.92,365,0,hd,"Food,Lifestyle,Pet",https://www.youtube.com/shorts/caWG0xRZm0I
ZiapJTrx7XQ,What color is a carrot 🤔 #duet #4cpod #funny #food #foodie #viral #fyp,70,0,8,0,20,12937,88,1,0.68,128000,0,hd,"Entertainment,Food",https://www.youtube.com/shorts/ZiapJTrx7XQ
ghJtBdD6-5M,Mango Kulfi #shorts #food #foodie #icecream #viral #trendingshorts #viralshorts #mango #cooking,95,358,9,0,23,4057,51,0,1.26,197,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/ghJtBdD6-5M
a4F6EyUZREI,#food #foodvlog #cooking #subscribe #cookingchannel #trending #shorts #foodie #foodlovers #street,97,0,10,0,3,2002,8,0,0.4,10200,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/a4F6EyUZREI
D7g80vKwD5w,Egg Pakoda #recipe #food #youtubeshorts #cooking #egg #viralvideo #viralshorts #foodie #streetfood,98,0,9,0,4,14420,264,0,1.83,5890,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/D7g80vKwD5w
jI36G-2rLbo,Chicken Biryani 🍗😋 #foodshorts #chickenrecipe #foodie #indianfood,65,433,6,0,15,9000,28,0,0.31,1080000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/jI36G-2rLbo
-AjGXi_QmS8,Tum bas Non veg Kyu Khate Ho #shorts #ytshorts #trandingshorts #food #foodie #cuttack,85,85,6,7,2,1743,70,3,4.02,3010,0,hd,Entertainment,https://www.youtube.com/shorts/-AjGXi_QmS8
dNeWOHa0YR0,₹40 ke chhole kulche sahi rate hai? YES / NO 😋  #foodie #short #streetfood #foodography #foodblogger,100,1252,9,15,5,14362,0,5,0.0,10200,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/dNeWOHa0YR0
pSqR4wGl3HM,⚡⚡Popcorn Making Process⚡⚡#shorts #telugufoodie #esangathulu #streetfood #foodie #omel,86,0,10,0,7,90555,810,0,0.89,1610000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/pSqR4wGl3HM
0rkRlYlDUFo,Noodle one Halal Chinese restaurant in Frisco Dallas Texas #momos #foodie #boba #youtubeshorts,94,115,4,0,1,1428,25,2,1.75,5230,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/0rkRlYlDUFo
eg_BIb5mlTM,Mirchi bajji 😍 #ytshorts #samruthispeaks #shorts #dailyshorts #foodie #foodie #snacks,85,85,8,9,16,1617,49,4,3.03,4580,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/eg_BIb5mlTM
NqGyEtWanTQ,Nostalgia FT Cotton Candy Part1♥️ #shorts #foodie #youtubeshorts #foodshorts,76,76,6,0,2,14871,37,0,0.25,5730,0,hd,Lifestyle,https://www.youtube.com/shorts/NqGyEtWanTQ
y92On0niVks,मुन्ना भाई का Special ₹400 वाली मटन चावल 😋 #foodie #streetfood #shorts,70,88,13,5,12,22107,0,0,0.0,5490,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/y92On0niVks
TPUqbdFDQI8,Cookies And Milk Cereal 🤤 #youtubeshorts #food #viral #foodie #cookies #milk #foodshorts #trending,98,0,9,0,21,5557,127,3,2.29,107000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/TPUqbdFDQI8
1B3yp1AoEjw,ଦେଶୀ କୁକୁଡ଼ା କଷା ।@foodyrudravlogs#shorts #foodie #trending #viralvideo #desichicken #foodlover,95,0,15,0,14,2096,87,1,4.15,3640,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/1B3yp1AoEjw
kgwhRiCmmMo,#ethiopian_food #habeshafood #eritreanfood #habesha #habeshaculture #ethiopian #food #foodie #duet,98,0,9,0,12,5029,78,1,1.55,4510,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/kgwhRiCmmMo
4yIRizda5_s,sopes y quesadillas #shorts #viralshorts #video #food #foodie,61,137,5,6,1,23419,166,0,0.71,37500,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/4yIRizda5_s
pekIlaFVLEM,world's best methi aloo paratha 📰#trending#viralvideo#meenuhomekitchen#food#indianfood#foodie#roti,98,0,9,0,2,2031,8,1,0.39,4340,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/pekIlaFVLEM
b1loyUFtX3Y,Naukri Se achcha chola Puri #viral #food #foodie #cooking #shorts,65,0,5,0,14,4911,19,0,0.39,1440,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/b1loyUFtX3Y
cZyZ3QOy5wA,Gujrati खाने का तो कोई जवाब नहीं😍  #food #foodie #platter #streetfood #shorts,77,77,14,0,16,11163,377,1,3.38,34100,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/cZyZ3QOy5wA
-XZBKtSZkqA,Bossman's Viral Burgers #burger #foodie #shorts,47,0,4,0,21,7024,100,5,1.42,8890,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/-XZBKtSZkqA
BTnemjKq5bU,#sandwich #food #streetfood #trending #kulchasandwich #sandwiches #foodie #foodlover #shorts #short,99,113,10,11,7,1850,20,0,1.08,21900,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/BTnemjKq5bU
R7amCCD7YOo,today special ❤️ #shorts #independenceday #special #ytshorts #foodie #easyrecipe #viral #viral,94,94,10,1,5,18615,170,2,0.91,2880,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/R7amCCD7YOo
zFWMYBLm2Fc,Top 3 Angry Indian🇮🇳 Food Seller😡😱 #shorts #facts #viral,56,839,7,9,6,183977,0,6,0.0,32900,0,hd,Entertainment,https://www.youtube.com/shorts/zFWMYBLm2Fc
ODO4672xdVM,Sardarji’s Famous Aloo Tikki at Just Rs 10/-😱😵|| Indian Street Food,67,0,7,0,6,52347,917,2,1.75,3920000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/ODO4672xdVM
7EBxnNWdkqA,What🤣- Thai Street Food,23,454,2,11,11,110032,329,2,0.3,185000,0,hd,Entertainment,https://www.youtube.com/shorts/7EBxnNWdkqA
rUOUY4XOdgU,🥰Satisfying with hot street food🥳#streetfood #satisfying video#cooking #asmr#shorts,83,1154,7,38,15,24563,87,1,0.35,12300,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/rUOUY4XOdgU
k93vQhyyuew,Beef recipe street food #testy #streetfood #food,48,189,3,13,11,31428,117,0,0.37,209,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/k93vQhyyuew
LBWwNVJ8ISs,Coconut water on the street #konghengly #streetfood,51,0,2,0,0,22283,124,0,0.56,9090,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/LBWwNVJ8ISs
iJB8c5J9eHw,Rating Bollywood Actors Fav Street Food 😱| Eating Bollywood Actors Fav Street Food Full Day #shorts,99,0,3,0,7,497660,28759,95,5.78,1900000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/iJB8c5J9eHw
fZbmGtZBm8Y,Aloo Soyabean With Puri ASMR Cooking #shorts #asmr #recipe #crunchytreats #streetfood #food,91,91,6,0,8,444915,6425,6,1.44,2070000,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/fZbmGtZBm8Y
bdGbq4qdI3k,Famous Chicken Stew In College Street | YMCA Canteen | College Street Street Food | SSR,87,643,3,17,12,95885,2152,12,2.24,8800,0,hd,"Food,Lifestyle",https://www.youtube.com/shorts/bdGbq4qdI3k
